"title","video_url","duration","thumbnail_url","channel_name","channel_url","relative_date","estimated_date"
"On These Math Problems, Smarter People Do Worse","https://www.youtube.com/watch?v=zB_OApdxcno","14:35","https://i.ytimg.com/vi/zB_OApdxcno/hqdefault.jpg","Veritasium","https://www.youtube.com/@veritasium","1 year ago","2025-03-22"
"Cabel Sasser, Panic - XOXO Festival (2024)","https://www.youtube.com/watch?v=Df_K7pIsfvg","19:26","https://i.ytimg.com/vi/Df_K7pIsfvg/hqdefault.jpg","XOXO Festival","https://www.youtube.com/@xoxofest","1 year ago","2025-03-22"
"Why Democracy Is Mathematically Impossible","https://www.youtube.com/watch?v=qf7ws2DF-zk","23:34","https://i.ytimg.com/vi/qf7ws2DF-zk/hqdefault.jpg","Veritasium","https://www.youtube.com/@veritasium","1 year ago","2025-03-22"
"This game theory problem will change the way you see the world","https://www.youtube.com/watch?v=mScpHTIi-kM","27:19","https://i.ytimg.com/vi/mScpHTIi-kM/hqdefault.jpg","Veritasium","https://www.youtube.com/@veritasium","2 years ago","2024-03-22"
"What is the secret of a good life? Lessons from the longest study on happiness","https://www.youtube.com/watch?v=vSQjk9jKarg","23:26","https://i.ytimg.com/vi/vSQjk9jKarg/hqdefault.jpg","Veritasium","https://www.youtube.com/@veritasium","2 years ago","2024-03-22"
"Should you switch to solar? - Shannon Odell","https://www.youtube.com/watch?v=dhiWSsKUWEg","5:32","https://i.ytimg.com/vi/dhiWSsKUWEg/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","2 years ago","2024-03-22"
"8 great webs apps you didn’t know you needed","https://www.youtube.com/watch?v=WwJrE5La6mg","4:48","https://i.ytimg.com/vi/WwJrE5La6mg/hqdefault.jpg","A Better Computer","https://www.youtube.com/@ABetterComputer","3 years ago","2023-03-22"
"What’s the best country to live in?","https://www.youtube.com/watch?v=EqJcNnijmdQ","4:02","https://i.ytimg.com/vi/EqJcNnijmdQ/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","3 years ago","2023-03-22"
"Change Your Life – One Tiny Step at a Time","https://www.youtube.com/watch?v=75d_29QWELk","11:31","https://i.ytimg.com/vi/75d_29QWELk/hqdefault.jpg","Kurzgesagt – In a Nutshell","https://www.youtube.com/@kurzgesagt","3 years ago","2023-03-22"
"Be Alive (Original Song from the Motion Picture ""King Richard"") (94th Academy Awards Performance)","https://www.youtube.com/watch?v=4aeDlZOD-B0","5:25","https://i.ytimg.com/vi/4aeDlZOD-B0/hqdefault.jpg","Beyoncé","https://www.youtube.com/channel/UCuHzBCaKmtaLcRAOoazhCPA","3 years ago","2023-03-22"
"Top 100 3D Renders from the Internet's Largest CG Challenge | Alternate Realities","https://www.youtube.com/watch?v=iKBs9l8jS6Q","10:50","https://i.ytimg.com/vi/iKBs9l8jS6Q/hqdefault.jpg","pwnisher","https://www.youtube.com/@pwnisher","4 years ago","2022-03-22"
"What if Digimon beat Pokémon? | Alternate History Explored","https://www.youtube.com/watch?v=Ooq3GXLP2TY","18:34","https://i.ytimg.com/vi/Ooq3GXLP2TY/hqdefault.jpg","Polygon","https://www.youtube.com/@polygon","5 years ago","2021-03-22"
"Time to ride the future | VanMoof","https://www.youtube.com/watch?v=kMpqVfnuyII","0:46","https://i.ytimg.com/vi/kMpqVfnuyII/hqdefault.jpg","VanMoof","https://www.youtube.com/@vanmoof","5 years ago","2021-03-22"
"What the heck is the event loop anyway? | Philip Roberts | JSConf EU","https://www.youtube.com/watch?v=8aGhZQkoFbQ","26:53","https://i.ytimg.com/vi/8aGhZQkoFbQ/hqdefault.jpg","JSConf","https://www.youtube.com/@jsconf_","11 years ago","2015-03-22"
"BMW M5 - ""Bullet"" - High Performance Art","https://www.youtube.com/watch?v=ZDuxWGHA-Z4","2:00","https://i.ytimg.com/vi/ZDuxWGHA-Z4/hqdefault.jpg","BMW Canada","https://www.youtube.com/@bmwcanada","13 years ago","2013-03-22"
"The Power of Vulnerability | Brené Brown | TED","https://www.youtube.com/watch?v=iCvmsMzlF7o","20:50","https://i.ytimg.com/vi/iCvmsMzlF7o/hqdefault.jpg","TED","https://www.youtube.com/@TED","15 years ago","2011-03-22"
"Half-Life 2 on OS X - Free Yourself","https://www.youtube.com/watch?v=2zkLh_QMFdQ","0:35","https://i.ytimg.com/vi/2zkLh_QMFdQ/hqdefault.jpg","Valve","https://www.youtube.com/@Valve","15 years ago","2011-03-22"
"Apple Macintosh Ad - Aired during the SuperBowl 1984","https://www.youtube.com/watch?v=8UZV7PDt8Lw","1:01","https://i.ytimg.com/vi/8UZV7PDt8Lw/hqdefault.jpg","ForAppleVideos","https://www.youtube.com/@ForAppleVideos","16 years ago","2010-03-22"
